user_id,name,age,gender,city_tier,occupation,monthly_income,monthly_expenses,monthly_savings,recharge_frequency,average_recharge_amount,electricity_payment_rate,water_payment_rate,internet_payment_rate,late_bill_count,upi_transactions,wallet_transactions,ecommerce_orders,payment_consistency,digital_activity_score,expense_ratio,savings_ratio,financial_discipline,credit_score,credit_category
11,Vyanjana Oommen,36,Male,Tier-1,Freelancer,16276,11893,1702,10,299,82,76,82,0,171,82,4,80.0,257,0.73,0.1,63.14,591,Fair
12,Avi Behl,38,Female,Tier-3,Freelancer,25821,20221,3571,12,299,81,92,99,1,332,59,9,90.67,400,0.78,0.14,73.48,610,Fair
13,Aarini Pingle,19,Male,Tier-2,Student,7098,5869,453,12,239,93,82,80,0,281,23,5,85.0,309,0.83,0.06,68.41,582,Fair
14,Meera Nigam,31,Female,Tier-3,Salaried,68842,49276,18680,12,399,99,99,97,0,221,36,7,98.33,264,0.72,0.27,81.31,637,Fair
15,Ansh Kanda,36,Female,Tier-1,Salaried,55606,32561,20349,10,299,90,96,95,0,163,22,7,93.67,192,0.59,0.37,77.81,638,Fair
16,Fariq Wali,21,Male,Tier-1,Student,13185,10541,1762,8,399,100,92,83,0,286,54,2,91.67,342,0.8,0.13,65.84,615,Fair
17,Ronith Chaudry,38,Female,Tier-3,Salaried,39008,21949,14283,10,399,96,90,96,1,216,28,10,94.0,254,0.56,0.37,77.98,638,Fair
18,Falak Din,20,Male,Tier-1,Student,12133,7688,1770,12,199,98,85,81,0,269,50,10,88.0,329,0.63,0.15,72.38,616,Fair
19,Aashi Chauhan,32,Female,Tier-3,Business Owner,117992,91554,25603,10,499,91,99,93,2,402,12,15,94.33,429,0.78,0.22,73.68,598,Fair
20,Ethan Datta,26,Male,Tier-3,Gig Worker,31945,26836,4571,7,239,82,74,91,3,197,60,2,82.33,259,0.84,0.14,59.46,518,Poor
21,Umang Madan,19,Male,Tier-3,Student,21576,18662,1175,10,199,82,86,89,1,232,73,10,85.67,315,0.86,0.05,64.47,579,Fair
22,Gavin Chakraborty,38,Male,Tier-2,Freelancer,34620,23392,9866,8,239,83,78,78,1,219,56,12,79.67,287,0.68,0.28,64.38,594,Fair
23,Tripti Sathe,29,Male,Tier-2,Freelancer,48122,38066,9021,8,239,95,88,83,0,150,62,15,88.67,227,0.79,0.19,65.96,607,Fair
24,Alka Pant,38,Female,Tier-1,Freelancer,61246,48324,10662,8,239,77,97,79,0,244,90,5,84.33,339,0.79,0.17,63.39,588,Fair
25,Manthan Narasimhan,24,Male,Tier-1,Salaried,83911,62594,20092,12,399,100,91,95,1,139,25,6,95.33,170,0.75,0.24,78.85,605,Fair
26,Jeevika Nanda,31,Female,Tier-2,Freelancer,66274,45990,18873,9,299,80,100,97,0,247,24,10,92.33,281,0.69,0.28,72.71,622,Fair
27,Abhiram Mammen,30,Male,Tier-1,Salaried,39609,30738,6175,10,599,95,94,91,1,189,42,10,93.33,241,0.78,0.16,71.34,591,Fair
28,Sneha Din,44,Female,Tier-1,Business Owner,63405,38538,21884,11,399,91,99,96,1,436,30,12,95.33,478,0.61,0.35,80.02,647,Fair
29,Unni Gala,40,Female,Tier-3,Business Owner,73386,55629,15491,11,399,98,98,100,2,490,22,11,98.67,523,0.76,0.21,77.67,598,Fair
30,Baghyawati Dani,24,Female,Tier-2,Freelancer,62169,43865,17283,12,299,96,88,85,3,328,57,11,89.67,396,0.71,0.28,77.17,585,Fair
31,Shivansh Cherian,26,Male,Tier-3,Freelancer,55338,41674,11355,11,399,75,84,84,1,260,61,10,81.0,331,0.75,0.21,68.66,592,Fair
32,Onkar Venkataraman,28,Female,Tier-1,Salaried,68178,55907,11671,12,499,91,93,100,1,157,22,6,94.67,185,0.82,0.17,76.47,583,Fair
33,Tanvi Apte,23,Female,Tier-1,Freelancer,44846,36648,7676,12,239,97,97,87,3,252,51,5,93.67,308,0.82,0.17,75.97,583,Fair
34,Urvashi Banerjee,45,Female,Tier-2,Salaried,58944,41458,15687,12,399,91,97,92,1,235,45,13,93.33,293,0.7,0.27,78.65,637,Fair
35,Teerth Bhatia,56,Male,Tier-2,Business Owner,60861,35895,23487,11,499,94,93,100,1,446,43,13,95.67,502,0.59,0.39,81.41,648,Fair
36,Janya Date,28,Female,Tier-2,Freelancer,32807,26383,5048,12,239,79,79,82,3,327,39,14,80.0,380,0.8,0.15,68.62,543,Poor
37,Dayita Chakraborty,37,Female,Tier-2,Salaried,52248,41875,8650,11,599,99,90,99,1,222,10,9,96.0,241,0.8,0.17,74.97,613,Fair
38,Avni Verma,40,Female,Tier-1,Salaried,77420,51976,23288,10,599,93,94,96,1,107,34,9,94.33,150,0.67,0.3,76.19,616,Fair
39,Zinal Tella,39,Female,Tier-1,Gig Worker,27502,23640,1471,9,299,88,91,70,1,244,74,3,83.0,321,0.86,0.05,61.1,551,Fair
40,Liam Bail,29,Male,Tier-3,Salaried,54799,40169,12697,11,499,96,94,91,1,104,44,4,93.67,152,0.73,0.23,75.78,589,Fair
41,Aarav Pradhan,30,Female,Tier-3,Business Owner,44067,23400,19275,10,399,99,92,93,0,371,17,15,94.67,403,0.53,0.44,80.46,673,Good
42,Tara Nayak,38,Female,Tier-3,Business Owner,119415,75627,42011,12,599,91,92,94,0,398,11,20,92.33,429,0.63,0.35,80.72,669,Good
43,Charles Nagy,45,Female,Tier-3,Salaried,37997,28894,6421,12,399,91,94,100,0,244,12,9,95.0,265,0.76,0.17,76.57,627,Fair
44,Ira Chadha,23,Female,Tier-2,Student,16181,13194,350,11,399,78,88,91,3,159,47,4,85.67,210,0.82,0.02,65.48,528,Poor
45,Mohammed Sane,41,Female,Tier-1,Salaried,42589,30717,9820,10,299,94,97,93,1,245,49,14,94.67,308,0.72,0.23,74.25,616,Fair
46,Ekalinga Chaudhry,39,Female,Tier-3,Business Owner,103904,76764,26290,11,499,94,99,94,2,252,43,9,95.67,304,0.74,0.25,77.42,599,Fair
47,Janani Natarajan,30,Female,Tier-3,Salaried,70259,49862,18901,12,599,97,90,91,1,156,35,15,92.67,206,0.71,0.27,78.4,612,Fair
48,Laban Ranganathan,39,Male,Tier-1,Salaried,47528,34055,12185,12,499,95,97,94,1,164,24,5,95.33,193,0.72,0.26,79.36,608,Fair
49,Anya Loke,23,Male,Tier-3,Student,20866,19142,1167,12,299,78,81,89,1,212,31,6,82.67,249,0.92,0.06,67.01,570,Fair
50,Qabil Thakur,24,Female,Tier-1,Salaried,61264,45706,13663,10,599,91,90,99,1,220,40,11,93.33,271,0.75,0.22,73.36,599,Fair
51,Avi Kohli,35,Male,Tier-1,Gig Worker,13738,9839,2155,9,239,72,88,90,1,118,39,10,83.33,167,0.72,0.16,64.37,552,Fair
52,Mugdha Peri,34,Male,Tier-3,Freelancer,54735,40922,11557,12,239,99,91,87,3,263,58,12,92.33,333,0.75,0.21,76.5,580,Fair
53,Avi Verma,24,Female,Tier-2,Freelancer,64986,55676,8169,9,299,96,77,80,1,194,90,4,84.33,288,0.86,0.13,63.94,555,Fair
54,Karan Kunda,36,Female,Tier-1,Freelancer,34087,28201,2971,10,399,84,97,89,0,325,49,7,90.0,381,0.83,0.09,67.61,615,Fair
55,Ganga Karnik,19,Female,Tier-2,Student,9882,6773,1364,9,199,76,80,89,2,232,27,9,81.67,268,0.69,0.14,62.97,561,Fair
56,Udyati More,38,Female,Tier-1,Salaried,53688,41700,9132,10,599,95,99,94,0,123,24,14,96.0,161,0.78,0.17,73.1,616,Fair
57,Jagdish Reddy,26,Male,Tier-2,Freelancer,45834,34763,8899,11,299,80,93,88,3,173,80,8,87.0,261,0.76,0.19,71.32,554,Fair
58,Lakshmi Mishra,49,Male,Tier-2,Business Owner,93955,57047,35084,11,599,96,98,90,1,272,30,10,94.67,312,0.61,0.37,80.54,631,Fair
59,Lavanya Bal,38,Male,Tier-2,Freelancer,45276,36827,7738,9,399,86,94,99,3,310,76,15,93.0,401,0.81,0.17,69.63,569,Fair
60,Vanya Dave,34,Male,Tier-2,Gig Worker,38863,32837,5470,6,199,90,89,95,2,120,59,9,91.33,188,0.84,0.14,61.89,549,Poor
61,Yug Iyengar,26,Male,Tier-3,Salaried,55241,32378,21365,12,399,97,94,98,1,206,40,11,96.33,257,0.59,0.39,83.77,647,Fair
62,Liam Thakur,42,Female,Tier-3,Salaried,58308,36962,19624,10,299,94,96,95,1,100,28,15,95.0,143,0.63,0.34,77.6,621,Fair
63,Amaira Gulati,56,Male,Tier-2,Business Owner,110592,73605,35509,11,599,98,96,97,1,472,22,17,97.0,511,0.67,0.32,80.13,650,Good
64,Wazir Hari,54,Female,Tier-3,Business Owner,45720,31923,12780,11,599,96,96,100,2,288,41,6,97.33,335,0.7,0.28,79.05,617,Fair
65,Joshua Varkey,56,Female,Tier-3,Business Owner,53069,33893,17591,11,399,92,96,100,0,269,40,18,96.0,327,0.64,0.33,79.94,660,Good
66,Varenya Kashyap,31,Female,Tier-3,Freelancer,59194,42488,15926,11,299,95,97,99,3,288,24,12,97.0,324,0.72,0.27,78.57,590,Fair
67,Jacob Golla,43,Female,Tier-2,Gig Worker,12961,9754,1379,6,299,92,73,84,2,156,23,1,83.0,180,0.75,0.11,56.69,508,Poor
68,Jeevika Sheth,27,Female,Tier-2,Salaried,41003,28322,11595,12,399,92,92,91,1,161,41,13,91.67,215,0.69,0.28,78.32,610,Fair
69,Varsha Vasa,44,Female,Tier-2,Salaried,25615,14292,9598,11,499,100,98,92,0,213,32,13,96.67,258,0.56,0.37,81.57,668,Good
70,Kamala Sani,32,Female,Tier-3,Salaried,38055,21130,15216,11,299,93,96,99,1,247,28,15,96.0,290,0.56,0.4,82.0,637,Fair
71,Harinakshi Sathe,41,Male,Tier-2,Salaried,81693,54155,26260,12,299,99,97,94,0,190,24,14,96.67,228,0.66,0.32,81.98,657,Good
72,Isaac Khalsa,22,Male,Tier-1,Freelancer,35246,24111,8934,8,399,86,98,79,0,225,61,14,87.67,300,0.68,0.25,67.44,610,Fair
73,Ikshita Mahajan,51,Male,Tier-1,Business Owner,109579,72946,35662,11,399,94,97,94,2,472,31,18,95.0,521,0.67,0.33,79.26,627,Fair
74,Anay Dhaliwal,42,Female,Tier-3,Business Owner,92089,49394,40686,12,499,91,96,90,1,387,17,13,92.33,417,0.54,0.44,83.42,664,Good
75,Jagat Dar,32,Female,Tier-2,Freelancer,22100,14650,5049,11,239,94,92,85,1,315,28,13,90.33,356,0.66,0.23,74.02,628,Fair
76,Ishani Rajagopal,18,Male,Tier-3,Student,6219,3137,370,11,199,78,82,97,1,219,49,7,85.67,275,0.5,0.06,66.62,584,Fair
77,Praneel Parekh,34,Female,Tier-3,Business Owner,104139,65298,36856,11,399,95,93,97,1,493,25,19,95.0,537,0.63,0.35,80.12,639,Fair
78,Wakeeta Doshi,43,Male,Tier-3,Salaried,48506,38999,8010,11,399,91,97,91,0,105,13,9,93.0,127,0.8,0.17,73.45,591,Fair
79,Lila Sanghvi,24,Male,Tier-2,Student,23160,21042,1086,9,239,85,99,84,0,190,74,4,89.33,268,0.91,0.05,64.07,586,Fair
80,Rachana Chhabra,24,Male,Tier-1,Student,5844,3403,217,10,239,93,85,80,1,187,23,4,86.0,214,0.58,0.04,64.11,568,Fair
81,Lakshmi Trivedi,34,Male,Tier-2,Salaried,58635,38677,17497,11,399,99,90,100,1,217,11,4,96.33,232,0.66,0.3,79.12,618,Fair
82,Arjun Iyengar,37,Female,Tier-3,Salaried,29816,16934,11175,11,399,91,92,94,1,197,48,12,92.33,257,0.57,0.37,79.41,635,Fair
83,Kala Sachdeva,23,Male,Tier-3,Student,8749,5472,1144,12,239,88,89,87,3,206,72,9,88.0,287,0.63,0.13,71.92,564,Fair
84,Nachiket Pall,33,Male,Tier-3,Salaried,68588,51904,14658,10,599,91,91,91,0,210,16,15,91.0,241,0.76,0.21,71.91,608,Fair
85,Indira Choudhury,38,Male,Tier-2,Freelancer,51810,40949,7902,8,299,86,96,99,3,334,26,7,93.67,367,0.79,0.15,67.41,554,Fair
86,Ladli Goswami,27,Male,Tier-3,Freelancer,25140,18071,5643,9,239,86,92,86,0,345,55,12,88.0,412,0.72,0.22,68.73,625,Fair
87,Zashil Prakash,29,Male,Tier-3,Freelancer,16897,13794,2022,10,299,86,75,80,1,294,71,4,80.33,369,0.82,0.12,63.76,584,Fair
88,Farhan Sabharwal,22,Male,Tier-1,Student,12049,10504,830,11,299,80,86,89,2,265,58,3,85.0,326,0.87,0.07,66.57,546,Poor
89,Harrison Basak,29,Female,Tier-1,Freelancer,44039,32190,9936,11,399,89,88,83,1,343,85,4,86.67,432,0.73,0.23,72.1,610,Fair
90,Ishaan Balan,39,Female,Tier-1,Freelancer,46891,36339,9187,10,239,82,87,94,0,151,46,7,87.67,204,0.77,0.2,69.71,610,Fair
91,Mason Yohannan,26,Male,Tier-2,Salaried,25506,16559,6997,11,399,92,96,98,0,228,45,14,95.33,287,0.65,0.27,77.9,636,Fair
92,Advika Oak,37,Female,Tier-1,Salaried,85369,70317,14467,11,599,99,96,100,1,174,17,10,98.33,201,0.82,0.17,76.25,599,Fair
93,Yatan Babu,51,Male,Tier-2,Business Owner,51551,33843,15938,10,399,96,99,96,2,270,35,19,97.0,324,0.66,0.31,77.78,632,Fair
94,Sai Peri,28,Male,Tier-1,Salaried,30005,20127,8330,10,399,95,95,100,0,160,16,6,96.67,182,0.67,0.28,76.66,620,Fair
95,Damyanti Sengupta,32,Male,Tier-2,Business Owner,63218,33717,27678,12,499,97,99,99,1,424,46,16,98.33,486,0.53,0.44,86.3,681,Good
96,Shivani Prabhu,38,Male,Tier-2,Salaried,53980,36630,16617,11,299,95,98,91,1,218,38,4,94.67,260,0.68,0.31,78.57,619,Fair
97,Aditya Sastry,23,Male,Tier-3,Freelancer,55305,40675,11652,11,299,93,92,100,0,265,44,8,95.0,317,0.74,0.21,75.82,637,Fair
98,Shravya Sundaram,34,Male,Tier-3,Gig Worker,13391,9011,2081,8,299,72,86,90,2,90,51,8,82.67,149,0.67,0.16,62.0,541,Poor
99,Upasna Palla,32,Male,Tier-2,Salaried,50389,35599,12707,11,299,100,100,95,0,184,16,12,98.33,212,0.71,0.25,78.73,633,Fair
100,Rajata Ganesan,41,Male,Tier-2,Salaried,68490,53753,12695,11,499,100,100,96,0,121,29,12,98.67,162,0.78,0.19,76.89,628,Fair
101,Raghav Amble,37,Male,Tier-1,Freelancer,21124,13941,4692,11,399,86,75,86,2,196,47,8,82.33,251,0.66,0.22,69.83,563,Fair
102,Umang Gole,20,Male,Tier-3,Student,8314,6435,715,12,199,96,85,99,1,272,44,4,93.33,320,0.77,0.09,73.25,591,Fair
103,Ayush Nadig,22,Female,Tier-1,Freelancer,41926,33445,6714,9,299,94,84,99,3,209,88,6,92.33,303,0.8,0.16,68.97,560,Fair
104,Suhani Dhingra,39,Female,Tier-2,Freelancer,43874,35195,7966,10,299,91,91,88,1,201,37,7,90.0,245,0.8,0.18,70.45,594,Fair
105,Mason Kala,24,Female,Tier-1,Freelancer,61622,42934,16397,8,299,77,99,80,2,265,85,5,85.33,355,0.7,0.27,66.65,569,Fair
106,Shravya Vaidya,29,Female,Tier-3,Business Owner,94381,73344,20132,12,499,93,96,91,1,307,11,11,93.33,329,0.78,0.21,77.07,627,Fair
107,Manbir Murty,36,Female,Tier-1,Business Owner,45020,31240,12232,11,599,92,97,97,2,251,15,6,95.33,272,0.69,0.27,77.82,594,Fair
108,Lopa Lata,20,Male,Tier-1,Student,12786,9086,756,8,239,88,95,99,3,136,27,9,94.0,172,0.71,0.06,64.77,537,Poor
109,Yuvraj Behl,30,Male,Tier-3,Freelancer,43130,37011,3465,10,239,93,88,80,0,284,66,4,87.0,354,0.86,0.08,65.91,601,Fair
110,Upma Zacharia,38,Male,Tier-2,Salaried,27853,16366,8604,11,499,90,95,91,1,161,50,5,92.0,216,0.59,0.31,77.27,625,Fair
111,Anita Nagarajan,22,Male,Tier-1,Student,16093,13419,2023,9,399,97,90,100,1,154,24,9,95.67,187,0.83,0.13,69.6,577,Fair
112,Anvi Mangal,30,Female,Tier-1,Business Owner,81365,44145,35258,12,499,98,97,94,0,442,22,10,96.33,474,0.54,0.43,85.17,690,Good
113,Kiaan Jha,34,Female,Tier-3,Salaried,53636,32072,19972,12,599,96,95,92,1,227,33,12,94.33,272,0.6,0.37,82.34,631,Fair
114,Manan Nagy,22,Female,Tier-2,Student,10913,8739,992,10,199,77,85,89,2,234,58,8,83.67,300,0.8,0.09,64.56,563,Fair
115,Bhavna Manne,34,Female,Tier-1,Salaried,65294,38052,26087,11,299,91,100,100,1,193,42,15,97.0,250,0.58,0.4,82.49,634,Fair
116,Nachiket Munshi,18,Male,Tier-1,Student,12733,9167,1543,10,299,87,93,81,1,293,48,7,87.0,348,0.72,0.12,67.14,591,Fair
117,Manan Deshmukh,35,Male,Tier-2,Salaried,45603,29792,14245,10,299,90,92,97,1,243,17,8,93.0,268,0.65,0.31,75.87,627,Fair
118,Ranveer Barman,29,Male,Tier-2,Gig Worker,32740,25394,5537,9,199,73,74,72,4,124,76,2,73.0,202,0.78,0.17,59.57,496,Poor
119,Bhavini Mani,32,Female,Tier-2,Salaried,83414,62124,18767,10,399,95,98,93,0,151,18,7,95.33,176,0.74,0.22,74.42,602,Fair
120,Onkar Nagar,40,Male,Tier-3,Salaried,33504,22340,10151,10,299,94,96,97,1,204,46,5,95.67,255,0.67,0.3,76.92,616,Fair
121,Saanvi Aurora,44,Female,Tier-1,Salaried,58905,43251,13909,12,399,92,96,98,0,131,43,6,95.33,180,0.73,0.24,78.75,617,Fair
122,Janaki Bandi,27,Male,Tier-3,Gig Worker,21338,14958,3695,10,239,72,78,76,5,150,36,5,75.33,191,0.7,0.17,62.86,470,Poor
123,Yatin Sandhu,39,Male,Tier-3,Freelancer,25105,19290,2953,12,399,94,85,93,0,157,30,3,90.67,190,0.77,0.12,72.86,594,Fair
124,Jai Narasimhan,54,Male,Tier-3,Business Owner,43969,27344,14268,12,599,94,100,94,1,312,35,10,96.0,357,0.62,0.32,81.74,635,Fair
125,Anmol Vyas,21,Female,Tier-1,Student,20867,16581,1677,10,239,85,97,90,2,222,28,7,90.67,257,0.79,0.08,67.74,564,Fair
126,Naksh Swaminathan,26,Male,Tier-2,Salaried,42529,28504,11159,10,299,90,94,96,1,163,20,9,93.33,192,0.67,0.26,74.54,614,Fair
127,Anamika Doshi,59,Male,Tier-1,Business Owner,107466,70543,34034,11,499,90,91,96,2,367,25,9,92.33,401,0.66,0.32,77.67,610,Fair
128,Parth Soman,42,Female,Tier-2,Salaried,82824,50951,29875,12,599,94,98,90,0,210,18,8,94.0,236,0.62,0.36,81.82,660,Good
129,Vincent Panchal,18,Female,Tier-1,Student,23686,20497,2203,10,299,77,87,96,3,260,37,11,86.67,308,0.87,0.09,66.12,533,Poor
130,Vasudha Sen,33,Female,Tier-3,Salaried,61558,36011,23683,10,399,99,98,96,0,111,12,6,97.67,129,0.58,0.38,80.38,641,Fair
131,George Nagi,22,Female,Tier-2,Student,9580,6393,600,12,299,80,87,99,2,271,41,10,88.67,322,0.67,0.06,70.21,581,Fair
132,Vivaan Dixit,23,Male,Tier-1,Salaried,49140,34831,11440,10,599,99,94,100,0,221,26,14,97.67,261,0.71,0.23,75.82,642,Fair
133,Gabriel Golla,26,Female,Tier-2,Freelancer,49356,38001,10778,12,299,79,96,82,0,296,34,6,85.67,336,0.77,0.22,73.38,622,Fair
134,Nilima Bhandari,23,Female,Tier-2,Student,11681,8994,856,12,399,98,98,81,1,252,33,10,92.33,295,0.77,0.07,72.37,604,Fair
135,Nidhi Nigam,28,Male,Tier-2,Salaried,55124,32644,20838,11,499,100,100,100,1,223,22,7,100.0,252,0.59,0.38,83.34,648,Fair
136,Noah Mohan,29,Female,Tier-3,Gig Worker,35269,30503,3088,7,299,92,85,80,4,169,91,5,85.67,265,0.86,0.09,59.46,492,Poor
137,Bachittar Handa,53,Male,Tier-2,Business Owner,85237,46298,37389,10,499,90,94,91,1,486,38,16,91.67,540,0.54,0.44,78.99,661,Good
138,Saanvi Jhaveri,40,Male,Tier-3,Salaried,42768,23702,16391,12,499,92,91,99,0,162,13,14,94.0,189,0.55,0.38,82.5,647,Fair
139,Lopa Hari,21,Female,Tier-1,Student,15823,11576,1792,8,239,75,92,85,3,287,79,9,84.0,375,0.73,0.11,61.4,551,Fair
140,Tanveer Srinivas,43,Female,Tier-3,Salaried,28877,15462,10886,10,399,98,90,92,1,145,12,10,93.33,167,0.54,0.38,77.98,612,Fair
141,Tara Pillai,28,Female,Tier-2,Business Owner,79110,51007,27054,10,499,94,97,100,2,384,41,20,97.0,445,0.64,0.34,78.76,635,Fair
142,Abdul Randhawa,18,Female,Tier-3,Student,15835,13893,651,11,299,97,80,80,2,195,56,12,85.67,263,0.88,0.04,66.07,543,Poor
143,Sai Agarwal,60,Female,Tier-1,Business Owner,82982,63019,18395,12,399,92,92,97,1,489,25,6,93.67,520,0.76,0.22,77.48,618,Fair
144,Mason Upadhyay,49,Male,Tier-2,Business Owner,79576,51090,27502,12,399,94,100,95,2,310,13,16,96.33,339,0.64,0.35,82.53,633,Fair
145,Triya Krish,39,Female,Tier-2,Salaried,85496,51082,31956,12,499,91,100,94,1,156,24,6,95.0,186,0.6,0.37,82.71,620,Fair
146,Mugdha Palan,40,Male,Tier-3,Salaried,84821,60133,22707,12,399,93,100,99,0,234,38,12,97.33,284,0.71,0.27,80.7,639,Fair
147,Tejas Handa,22,Female,Tier-1,Student,21563,17678,997,12,239,80,85,96,3,149,63,5,87.0,217,0.82,0.05,68.89,535,Poor
148,Samaksh Luthra,57,Male,Tier-2,Business Owner,57294,37895,18810,11,599,90,98,97,2,456,29,17,95.0,502,0.66,0.33,79.35,624,Fair
149,Upadhriti Sule,39,Female,Tier-1,Freelancer,19786,15832,1780,10,399,77,92,76,0,270,24,7,81.67,301,0.8,0.09,63.53,576,Fair
150,Turvi Sandhu,35,Male,Tier-3,Salaried,54395,31711,19984,11,599,91,100,100,0,189,17,6,97.0,212,0.58,0.37,81.52,648,Fair
151,Hemangini Bhatt,28,Male,Tier-2,Freelancer,69710,62567,5630,8,299,89,96,98,3,286,68,6,94.33,360,0.9,0.08,65.59,551,Fair
152,Charita Trivedi,26,Male,Tier-3,Salaried,27111,16859,9553,11,299,93,93,91,0,108,38,13,92.33,159,0.62,0.35,78.74,630,Fair
153,Jagdish Jaggi,30,Male,Tier-2,Salaried,60373,46225,12335,10,399,98,94,93,1,247,48,14,95.0,309,0.77,0.2,73.63,608,Fair
154,Leena Nayar,36,Female,Tier-2,Gig Worker,17243,12924,1789,8,199,87,88,93,2,240,74,9,89.33,323,0.75,0.1,63.78,553,Fair
155,Faqid Nagy,48,Female,Tier-1,Business Owner,94568,64912,28565,11,499,92,98,97,0,467,24,10,95.67,501,0.69,0.3,78.9,653,Good
156,Upasna Chauhan,37,Male,Tier-1,Gig Worker,27366,22828,1845,7,239,76,80,90,1,195,67,2,82.0,264,0.83,0.07,57.02,554,Fair
157,Balveer Sharma,44,Male,Tier-1,Salaried,64647,43465,19441,10,399,99,100,98,0,222,23,9,99.0,254,0.67,0.3,78.52,632,Fair
158,Ekavir Deep,23,Female,Tier-2,Gig Worker,34473,26453,6203,9,199,92,89,92,2,181,50,9,91.0,240,0.77,0.18,68.9,581,Fair
159,Anirudh Walla,43,Male,Tier-3,Salaried,48544,35325,11024,11,599,97,91,97,1,152,33,9,95.0,194,0.73,0.23,76.31,593,Fair
160,Oviya Bobal,21,Female,Tier-1,Freelancer,32090,23562,6473,12,399,98,88,84,1,200,62,6,90.0,268,0.73,0.2,75.05,608,Fair
161,Neha Roy,31,Female,Tier-3,Freelancer,31864,22891,7900,11,399,95,98,90,3,193,65,5,94.33,263,0.72,0.25,76.6,587,Fair
162,Pahal Dhillon,22,Female,Tier-1,Student,6924,5196,610,8,199,99,75,93,1,281,34,3,89.0,318,0.75,0.09,63.14,561,Fair
163,Neelima Vyas,42,Female,Tier-3,Salaried,66794,45094,21152,12,599,100,97,90,0,236,45,10,95.67,291,0.68,0.32,81.33,641,Fair
164,Eta Bumb,32,Female,Tier-2,Salaried,26123,16269,7198,12,599,92,91,91,0,161,22,13,91.33,196,0.62,0.28,77.93,627,Fair
165,Hritik Goda,33,Female,Tier-2,Business Owner,88896,49169,39098,11,599,93,93,94,2,461,15,16,93.33,492,0.55,0.44,81.86,626,Fair
166,Hemangini Zacharia,38,Female,Tier-1,Salaried,28677,19137,8866,12,399,91,97,96,1,244,16,12,94.67,272,0.67,0.31,80.61,626,Fair
167,Parth Krishnan,25,Male,Tier-2,Salaried,69854,41081,26642,12,299,92,95,90,0,250,19,15,92.33,284,0.59,0.38,81.61,649,Fair
168,William Lad,39,Female,Tier-1,Freelancer,69699,49182,18601,12,299,87,99,98,1,326,30,11,94.67,367,0.71,0.27,79.34,621,Fair
169,Vasudha Bir,25,Female,Tier-2,Salaried,47321,31107,14257,12,599,95,90,100,1,215,41,7,95.0,263,0.66,0.3,80.54,632,Fair
170,Charita Kadakia,22,Female,Tier-2,Student,17454,15780,543,12,299,100,82,82,0,188,29,8,88.0,225,0.9,0.03,68.93,595,Fair
171,Bina Thaman,25,Female,Tier-3,Salaried,25340,12785,9774,11,499,94,91,92,0,147,37,11,92.33,195,0.5,0.39,79.74,651,Good
172,Shivani Deshmukh,18,Male,Tier-3,Student,16597,12279,1527,12,299,87,75,89,3,219,69,3,83.67,291,0.74,0.09,68.59,536,Poor
173,Charita Gulati,26,Female,Tier-2,Freelancer,24099,18263,3353,10,299,79,77,80,3,220,73,7,78.67,300,0.76,0.14,63.51,522,Poor
174,Bhavini Raman,43,Female,Tier-2,Gig Worker,30481,24937,3488,10,199,84,73,74,3,81,70,6,77.0,157,0.82,0.11,61.93,504,Poor
